cohort,threshold,strategy,net_benefit,n,events,analysis_type
METABRIC,0.45,Treat all,-0.4139305371038148,1916,426,exploratory_secondary
METABRIC,0.45,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.45,Pathway ML,-0.05010438413361169,1916,426,exploratory_secondary
METABRIC,0.45,Cox baseline,-0.07083886885557031,1916,426,exploratory_secondary
METABRIC,0.45,PAM50-ROR,0.0,1916,426,exploratory_secondary
METABRIC,0.475,Treat all,-0.4812605626801868,1916,426,exploratory_secondary
METABRIC,0.475,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.475,Pathway ML,-0.05810716771050799,1916,426,exploratory_secondary
METABRIC,0.475,Cox baseline,-0.06300328064419922,1916,426,exploratory_secondary
METABRIC,0.475,PAM50-ROR,0.0,1916,426,exploratory_secondary
METABRIC,0.5,Treat all,-0.5553235908141962,1916,426,exploratory_secondary
METABRIC,0.5,Treat none,0.0,1916,426,exploratory_secondary
METABRIC,0.5,Pathway ML,-0.010438413361169102,1916,426,exploratory_secondary
METABRIC,0.5,Cox baseline,-0.05636743215031315,1916,426,exploratory_secondary
METABRIC,0.5,PAM50-ROR,0.0,1916,426,exploratory_secondary
GSE20685,0.05,Treat all,0.10855263157894737,320,49,exploratory_secondary
GSE20685,0.05,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.05,Pathway ML,0.10855263157894737,320,49,exploratory_secondary
GSE20685,0.05,Cox baseline,0.10855263157894737,320,49,exploratory_secondary
GSE20685,0.05,PAM50-ROR,0.10855263157894737,320,49,exploratory_secondary
GSE20685,0.075,Treat all,0.08445945945945947,320,49,exploratory_secondary
GSE20685,0.075,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.075,Pathway ML,0.08445945945945947,320,49,exploratory_secondary
GSE20685,0.075,Cox baseline,0.08445945945945947,320,49,exploratory_secondary
GSE20685,0.075,PAM50-ROR,0.08445945945945947,320,49,exploratory_secondary
GSE20685,0.1,Treat all,0.059027777777777776,320,49,exploratory_secondary
GSE20685,0.1,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.1,Pathway ML,0.059027777777777776,320,49,exploratory_secondary
GSE20685,0.1,Cox baseline,0.059027777777777776,320,49,exploratory_secondary
GSE20685,0.1,PAM50-ROR,0.059027777777777776,320,49,exploratory_secondary
GSE20685,0.125,Treat all,0.032142857142857154,320,49,exploratory_secondary
GSE20685,0.125,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.125,Pathway ML,0.032142857142857154,320,49,exploratory_secondary
GSE20685,0.125,Cox baseline,0.032142857142857154,320,49,exploratory_secondary
GSE20685,0.125,PAM50-ROR,0.032142857142857154,320,49,exploratory_secondary
GSE20685,0.15,Treat all,0.003676470588235281,320,49,exploratory_secondary
GSE20685,0.15,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.15,Pathway ML,0.016360294117647056,320,49,exploratory_secondary
GSE20685,0.15,Cox baseline,0.003676470588235281,320,49,exploratory_secondary
GSE20685,0.15,PAM50-ROR,0.003676470588235281,320,49,exploratory_secondary
GSE20685,0.175,Treat all,-0.02651515151515149,320,49,exploratory_secondary
GSE20685,0.175,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.175,Pathway ML,-0.011268939393939387,320,49,exploratory_secondary
GSE20685,0.175,Cox baseline,-0.02651515151515152,320,49,exploratory_secondary
GSE20685,0.175,PAM50-ROR,-0.02651515151515152,320,49,exploratory_secondary
GSE20685,0.2,Treat all,-0.05859375,320,49,exploratory_secondary
GSE20685,0.2,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.2,Pathway ML,-0.021875000000000006,320,49,exploratory_secondary
GSE20685,0.2,Cox baseline,-0.04765624999999998,320,49,exploratory_secondary
GSE20685,0.2,PAM50-ROR,-0.05859375,320,49,exploratory_secondary
